timestamp,temp,humidity,ppm
2023-06-09T10:46:48+05:30,38,38,24.01
2023-06-09T10:47:49+05:30,38,36,22.39
2023-06-09T10:48:49+05:30,38,36,21.62
2023-06-09T10:49:50+05:30,38,36,21.62
2023-06-09T10:50:50+05:30,38,36,21.62
2023-06-09T10:51:50+05:30,38,36,21.62
2023-06-09T10:52:51+05:30,38,36,21.62
2023-06-09T10:53:51+05:30,38,36,21.62
2023-06-09T10:54:52+05:30,38,36,21.62
2023-06-09T10:55:52+05:30,39,36,21.62
2023-06-09T10:56:53+05:30,39,36,20.86
2023-06-09T10:57:53+05:30,39,36,21.62
2023-06-09T10:58:53+05:30,39,35,21.62
2023-06-09T10:59:54+05:30,39,35,21.62
2023-06-09T11:00:54+05:30,39,35,21.62
2023-06-09T11:01:55+05:30,39,35,21.62
2023-06-09T11:02:55+05:30,39,35,21.62
2023-06-09T11:03:56+05:30,39,35,21.62
2023-06-09T11:04:56+05:30,39,35,22.39
2023-06-09T11:05:58+05:30,39,35,21.62
2023-06-09T11:06:58+05:30,39,35,22.39
2023-06-09T11:07:59+05:30,39,35,22.39
2023-06-09T11:08:59+05:30,39,35,22.39
2023-06-09T11:10:00+05:30,39,35,21.62
2023-06-09T11:11:01+05:30,39,35,20.86
2023-06-09T11:12:01+05:30,39,35,21.62
2023-06-09T11:13:01+05:30,39,35,22.39
2023-06-09T11:14:02+05:30,39,35,21.62
2023-06-09T11:15:02+05:30,39,35,21.62
2023-06-09T11:16:03+05:30,39,35,22.39
2023-06-09T11:17:03+05:30,39,35,21.62
2023-06-09T11:18:04+05:30,39,35,25.71
2023-06-09T11:19:04+05:30,39,35,24.85
2023-06-09T11:20:05+05:30,39,35,22.39
2023-06-09T11:21:06+05:30,39,35,21.62
2023-06-09T11:22:06+05:30,39,34,21.62
2023-06-09T11:23:07+05:30,39,34,21.62
2023-06-09T11:24:08+05:30,39,34,20.86
2023-06-09T11:25:08+05:30,39,34,22.39
2023-06-09T11:26:09+05:30,39,34,21.62
2023-06-09T11:27:09+05:30,39,34,21.62
2023-06-09T11:28:09+05:30,39,34,21.62
2023-06-09T11:29:10+05:30,39,34,21.62
2023-06-09T11:30:10+05:30,39,34,21.62
2023-06-09T11:31:11+05:30,39,34,20.86
2023-06-09T11:32:11+05:30,39,34,21.62
2023-06-09T11:33:12+05:30,39,34,21.62
2023-06-09T11:34:12+05:30,39,34,20.86
2023-06-09T11:35:12+05:30,39,34,20.86
2023-06-09T11:36:13+05:30,39,34,20.86
2023-06-09T11:37:13+05:30,39,34,20.86
2023-06-09T11:38:14+05:30,39,34,20.86
2023-06-09T11:39:14+05:30,39,34,20.86
2023-06-09T11:40:14+05:30,39,34,20.86
2023-06-09T11:41:15+05:30,39,34,20.13
2023-06-09T11:42:15+05:30,39,34,20.13
2023-06-09T11:43:16+05:30,39,34,20.86
2023-06-09T11:44:16+05:30,39,34,20.13
2023-06-09T11:45:17+05:30,39,34,20.86
2023-06-09T11:46:17+05:30,39,34,20.86
2023-06-09T11:47:18+05:30,39,34,20.13
2023-06-09T11:48:18+05:30,39,34,19.41
2023-06-09T11:49:18+05:30,39,34,20.13
2023-06-09T11:50:19+05:30,39,34,20.86
2023-06-09T11:51:19+05:30,40,33,20.13
2023-06-09T11:52:20+05:30,40,33,20.13
2023-06-09T11:53:20+05:30,40,33,20.13
2023-06-09T11:54:20+05:30,40,33,20.13
2023-06-09T11:55:21+05:30,40,33,20.13
2023-06-09T11:56:21+05:30,40,33,20.86
2023-06-09T11:57:22+05:30,40,33,20.13
2023-06-09T11:58:22+05:30,40,33,20.13
2023-06-09T11:59:23+05:30,40,33,20.13
2023-06-09T12:00:23+05:30,40,33,19.41
2023-06-09T12:01:23+05:30,40,33,20.13
2023-06-09T12:02:24+05:30,40,33,20.13
2023-06-09T12:03:24+05:30,40,33,20.13
2023-06-09T12:04:25+05:30,40,33,20.13
2023-06-09T12:05:25+05:30,40,32,19.41
2023-06-09T12:06:26+05:30,40,32,18.72
2023-06-09T12:07:26+05:30,40,32,19.41
2023-06-09T12:08:27+05:30,40,32,19.41
2023-06-09T12:09:27+05:30,40,32,19.41
2023-06-09T12:10:28+05:30,40,32,20.13
2023-06-09T12:11:28+05:30,40,32,19.41
2023-06-09T12:12:29+05:30,40,32,19.41
2023-06-09T12:13:29+05:30,40,32,18.72
2023-06-09T12:14:29+05:30,40,32,18.72
2023-06-09T12:15:30+05:30,40,32,19.41
2023-06-09T12:16:30+05:30,40,32,19.41
2023-06-09T12:17:31+05:30,40,32,19.41
